course_code,course_title,course_descr,instructor,scheduled_time_start,scheduled_time_end,call_number,campus,class_id,course_subtitle,department,department_code,link,location,method_of_instruction,open_to,points,prerequisites,scheduled_days,section_key,type
NSBV BC3594,RSRCH/SEM-NEUROSCNC&BEHAVIOR,"Prerequisites: Open to senior Neuroscience and Behavior majors. Permission of the instructor. This is a year-long course. By the end of the spring semester program planning period during junior year, majors should identify the lab they will be working in during their senior year. Discussion and conferences on a research project culminate in a written and oral senior thesis. Each project must be supervised by a scientist working at Barnard or at another local institution. Successful completion of the seminar substitutes for the major examination.",Peter D Balsam,,,00545,,X3594-20271-002,RSRCH/SEM-NEUROSCNC&BEHAV,Neuroscience & Behavior @Barnard,NSBV,https://doc.sis.columbia.edu/subj/NSBV/X3594-20271-002/,,,,4,,,20271NSBV3594X002,SEMINAR
NSBV BC3594,RSRCH/SEM-NEUROSCNC&BEHAVIOR,"Prerequisites: Open to senior Neuroscience and Behavior majors. Permission of the instructor. This is a year-long course. By the end of the spring semester program planning period during junior year, majors should identify the lab they will be working in during their senior year. Discussion and conferences on a research project culminate in a written and oral senior thesis. Each project must be supervised by a scientist working at Barnard or at another local institution. Successful completion of the seminar substitutes for the major examination.",Alex White,,,00546,,X3594-20271-003,RSRCH/SEM-NEUROSCNC&BEHAV,Neuroscience & Behavior @Barnard,NSBV,https://doc.sis.columbia.edu/subj/NSBV/X3594-20271-003/,,,,4,,,20271NSBV3594X003,SEMINAR
NSBV BC3594,RSRCH/SEM-NEUROSCNC&BEHAVIOR,"Prerequisites: Open to senior Neuroscience and Behavior majors. Permission of the instructor. This is a year-long course. By the end of the spring semester program planning period during junior year, majors should identify the lab they will be working in during their senior year. Discussion and conferences on a research project culminate in a written and oral senior thesis. Each project must be supervised by a scientist working at Barnard or at another local institution. Successful completion of the seminar substitutes for the major examination.",Kevin G Bath,,,00547,,X3594-20271-004,RSRCH/SEM-NEUROSCNC&BEHAV,Neuroscience & Behavior @Barnard,NSBV,https://doc.sis.columbia.edu/subj/NSBV/X3594-20271-004/,,,,4,,,20271NSBV3594X004,SEMINAR
PHIL BC4050,SENIOR SEMINAR,"Intensive study of a philosophical issue or topic, or of a philosopher, group of philosophers, or philosophical school or movement. Open only to Barnard senior philosophy majors.",Francey Russell,,,00507,,X4050-20271-001,,Philosophy @Barnard,PHIL,https://doc.sis.columbia.edu/subj/PHIL/X4050-20271-001/,,,,4,,,20271PHIL4050X001,SEMINAR
PHIL BC4052,SENIOR ESSAY,"A substantial paper, developing from an Autumn workshop and continuing into the Spring under the direction of an individual adviser. Open only to Barnard senior philosophy majors.",Caroline D Bowman,,,00508,,X4052-20271-001,,Philosophy @Barnard,PHIL,https://doc.sis.columbia.edu/subj/PHIL/X4052-20271-001/,,,,3,,,20271PHIL4052X001,SEMINAR
PHIL UN1001,INTRODUCTION TO PHILOSOPHY,"Survey of some of the central problems, key figures, and great works in both traditional and contemporary philosophy. Topics and texts will vary with instructor and semester.",Ding Ding,,,00478,,V1001-20271-001,INTRODUCTION TO PHILOSOPH,Philosophy @Barnard,PHIL,https://doc.sis.columbia.edu/subj/PHIL/V1001-20271-001/,,,,3,,,20271PHIL1001V001,LECTURE
PHIL UN1001,INTRODUCTION TO PHILOSOPHY,"Survey of some of the central problems, key figures, and great works in both traditional and contemporary philosophy. Topics and texts will vary with instructor and semester.",Taylor Carman,,,00483,,V1001-20271-002,INTRODUCTION TO PHILOSOPH,Philosophy @Barnard,PHIL,https://doc.sis.columbia.edu/subj/PHIL/V1001-20271-002/,,,,3,,,20271PHIL1001V002,LECTURE
PHIL UN1401,INTRODUCTION TO LOGIC,"Explicit criteria for recognizing valid and fallacious arguments, together with various methods for schematizing discourse for the purpose of logical analysis. Illustrative material taken from science and everyday life.",Ding Ding,,,00488,,V1401-20271-001,,Philosophy @Barnard,PHIL,https://doc.sis.columbia.edu/subj/PHIL/V1401-20271-001/,,,,3,,,20271PHIL1401V001,LECTURE
PHIL UN2109,"Love, Gender, and Sex","What does it mean to love, and what does it take to love well? Must true love make us “happy ever after”? Should love be exclusive? Is love between individuals or could it be communal and even political? How does love relate to gender and sex, and how might the experiences of queer, trans, and intersex people both complicate and illuminate these connections? What is gender anyway? How do we figure that out? Is it a mere coincidence that the English term ‘sex’ refers to both an activity and a system of categorization? How should we think about consent, desire, objectification, and sexualization in connection to sexual autonomy and gender equality? This course surveys philosophical questions about love, gender, and sex, and in so doing, aims to introduce students to the burgeoning interdisciplinary field of social philosophy.
  
Love, Gender, and Sex is designed to be friendly to all students regardless of philosophy background.",Ding Ding,,,00491,,W2109-20271-001,,Philosophy @Barnard,PHIL,https://doc.sis.columbia.edu/subj/PHIL/W2109-20271-001/,,,,3,,,20271PHIL2109W001,LECTURE
PHIL UN2201,HISTORY OF PHILOSOPHY II,"Prerequisites: PHIL UN2211 Required Discussion Section (0 points). PHIL UN2101 is not a prerequisite for this course. Exposition and analysis of the metaphysics, epistemology, and natural philosophy of the major philosophers from Aquinas through Kant. Authors include Aquinas, Galileo, Gassendi, Descartes, Spinoza, Leibniz, Berkeley, Hume, and Kant. This course has unrestricted enrollment.",Caroline D Bowman,,,00497,,V2201-20271-001,,Philosophy @Barnard,PHIL,https://doc.sis.columbia.edu/subj/PHIL/V2201-20271-001/,,,,4,"PHIL UN2101
PHIL UN2211",,20271PHIL2201V001,LECTURE
PHIL UN2211,HIST OF PHILOSOPHY II-REC,,,,,00503,,V2211-20271-001,,Philosophy @Barnard,PHIL,https://doc.sis.columbia.edu/subj/PHIL/V2211-20271-001/,,,,0,,,20271PHIL2211V001,RECITATION
PHIL UN2211,HIST OF PHILOSOPHY II-REC,,,,,00504,,V2211-20271-002,,Philosophy @Barnard,PHIL,https://doc.sis.columbia.edu/subj/PHIL/V2211-20271-002/,,,,0,,,20271PHIL2211V002,RECITATION
PHIL UN2211,HIST OF PHILOSOPHY II-REC,,,,,00505,,V2211-20271-003,,Philosophy @Barnard,PHIL,https://doc.sis.columbia.edu/subj/PHIL/V2211-20271-003/,,,,0,,,20271PHIL2211V003,RECITATION
PHIL UN2655,COGNITIVE SCIENCE AND PHILOSOPHY,"This course will survey a number of topics at the intersection of cognitive science and philosophy. Potential topics include free will, consciousness, embodied cognition, artificial intelligence, neural networks, and the language of thought.",Tyler Knowlton,,,00559,,V2655-20271-001,COG SCI AND PHILOSOPHY,Cognitive Science @Barnard,PHIL,https://doc.sis.columbia.edu/subj/PHIL/V2655-20271-001/,,,,3,,,20271PHIL2655V001,LECTURE
