course_code,course_title,course_descr,instructor,scheduled_time_start,scheduled_time_end,call_number,campus,class_id,course_subtitle,department,department_code,instructor_wikipedia_link,link,location,method_of_instruction,open_to,points,prerequisites,scheduled_days,section_key,type
LAW_ L6231,CORPORATIONS,"This is a Law School course. For more detailed course information, please go to the Law School Curriculum Guide at: http://www.law.columbia.edu/courses/search
",John C Jr Coffee,1:20pm,2:40pm,10039,Morningside,L6231-20231-001,,Law,LAW_,https://en.wikipedia.org/wiki/John_C._Coffee,http://www.columbia.edu//cu/bulletin/uwb/subj/LAW_/L6231-20231-001/,To be announced,In-Person,,4,,MTW,20231LAW_6231L001,LECTURE
LAW_ L6231,CORPORATIONS,"This is a Law School course. For more detailed course information, please go to the Law School Curriculum Guide at: http://www.law.columbia.edu/courses/search
",Eric Talley,8:40am,10:00am,10040,Morningside,L6231-20231-002,,Law,LAW_,https://en.wikipedia.org/wiki/Eric_Talley,http://www.columbia.edu//cu/bulletin/uwb/subj/LAW_/L6231-20231-002/,To be announced,In-Person,,4,,MTW,20231LAW_6231L002,LECTURE
LAW_ L6232,CORPORATE FINANCE,,Edward R Morrison,9:10am,10:30am,10036,Morningside,L6232-20231-001,,Law,LAW_,https://en.wikipedia.org/wiki/Edward_R._Morrison,http://www.columbia.edu//cu/bulletin/uwb/subj/LAW_/L6232-20231-001/,To be announced,In-Person,,3,,MW,20231LAW_6232L001,LECTURE
LAW_ L6238,CRIMINAL ADJUDICATION,,Paul L Shechtman,6:20pm,9:10pm,10041,Morningside,L6238-20231-001,,Law,LAW_,,http://www.columbia.edu//cu/bulletin/uwb/subj/LAW_/L6238-20231-001/,To be announced,In-Person,,3,,M,20231LAW_6238L001,LECTURE
LAW_ L6241,EVIDENCE,,Daniel Capra,3:00pm,4:50pm,10049,Morningside,L6241-20231-001,,Law,LAW_,,http://www.columbia.edu//cu/bulletin/uwb/subj/LAW_/L6241-20231-001/,To be announced,In-Person,,4,,MW,20231LAW_6241L001,LECTURE
LAW_ L6241,EVIDENCE,,,,,10140,Morningside,L6241-20231-002,,Law,LAW_,,http://www.columbia.edu//cu/bulletin/uwb/subj/LAW_/L6241-20231-002/,,In-Person,,4,,,20231LAW_6241L002,LECTURE
LAW_ L6256,FEDERAL INCOME TAXATION,,Alex Raskolnikov,1:20pm,2:40pm,10052,Morningside,L6256-20231-001,,Law,LAW_,,http://www.columbia.edu//cu/bulletin/uwb/subj/LAW_/L6256-20231-001/,To be announced,In-Person,,4,,MTW,20231LAW_6256L001,LECTURE
LAW_ L6269,INTERNATIONAL LAW,"This is a Law School course. For more detailed course information, please go to the Law School Curriculum Guide at: http://www.law.columbia.edu/courses/search
",,,,10011,Morningside,L6269-20231-001,,Law,LAW_,,http://www.columbia.edu//cu/bulletin/uwb/subj/LAW_/L6269-20231-001/,,In-Person,,4,,,20231LAW_6269L001,LECTURE
LAW_ L6271,LAW & LEGAL INST IN CHINA,"This is a Law School course. For more detailed course information, please go to the Law School Curriculum Guide at: http://www.law.columbia.edu/courses/search
",Benjamin L Liebman,1:20pm,2:40pm,10066,Morningside,L6271-20231-001,,Law,LAW_,https://en.wikipedia.org/wiki/Benjamin_L._Liebman,http://www.columbia.edu//cu/bulletin/uwb/subj/LAW_/L6271-20231-001/,To be announced,In-Person,,3,,TR,20231LAW_6271L001,LECTURE
LAW_ L6273,JAPANSE LAW-LEGAL INSTITUTIONS,"This is a Law School course. For more detailed course information, please go to the Law School Curriculum Guide at: http://www.law.columbia.edu/courses/search
",Nobuhisa Ishizuka,1:20pm,2:40pm,10063,Morningside,L6273-20231-001,JAPANSE LAW-LEGAL INSTITU,Law,LAW_,,http://www.columbia.edu//cu/bulletin/uwb/subj/LAW_/L6273-20231-001/,To be announced,In-Person,,3,,TR,20231LAW_6273L001,LECTURE
LAW_ L6274,PROFESSIONAL RESPONSIBILITY,,Janis Meyer,4:20pm,6:10pm,10074,Morningside,L6274-20231-001,PROFESSIONAL RESPONSIBILI,Law,LAW_,,http://www.columbia.edu//cu/bulletin/uwb/subj/LAW_/L6274-20231-001/,To be announced,In-Person,,2,,T,20231LAW_6274L001,LECTURE
LAW_ L6274,PROFESSIONAL RESPONSIBILITY,,Kathy Rose,4:20pm,6:10pm,10075,Morningside,L6274-20231-002,PROFESSIONAL RESPONSIBILI,Law,LAW_,,http://www.columbia.edu//cu/bulletin/uwb/subj/LAW_/L6274-20231-002/,To be announced,In-Person,,2,,W,20231LAW_6274L002,LECTURE
LAW_ L6274,PROFESSIONAL RESPONSIBILITY,,Michael L Fox,2:20pm,4:10pm,10076,Morningside,L6274-20231-003,PROFESSIONAL RESPONSIBILI,Law,LAW_,,http://www.columbia.edu//cu/bulletin/uwb/subj/LAW_/L6274-20231-003/,To be announced,In-Person,,2,,M,20231LAW_6274L003,LECTURE
LAW_ L6293,ANTITRUST AND TRADE REGULATION,"This is a Law School course. For more detailed course information, please go to the Law School Curriculum Guide at: http://www.law.columbia.edu/courses/search
",Justin R McCrary,1:20pm,2:40pm,10023,Morningside,L6293-20231-001,ANTITRUST AND TRADE REGUL,Law,LAW_,,http://www.columbia.edu//cu/bulletin/uwb/subj/LAW_/L6293-20231-001/,To be announced,In-Person,,3,,TR,20231LAW_6293L001,LECTURE
LAW_ L6327,EMPLOYMENT LAW,,Mark Barenberg,9:10am,10:30am,10047,Morningside,L6327-20231-001,,Law,LAW_,,http://www.columbia.edu//cu/bulletin/uwb/subj/LAW_/L6327-20231-001/,To be announced,In-Person,,4,,MTW,20231LAW_6327L001,LECTURE
LAW_ L6341,COPYRIGHT LAW,"This is a Law School course. For more detailed course information, please go to the Law School Curriculum Guide at: http://www.law.columbia.edu/courses/search
",Timothy S Wu,2:50pm,4:10pm,10035,Morningside,L6341-20231-001,,Law,LAW_,https://en.wikipedia.org/wiki/Tim_Wu,http://www.columbia.edu//cu/bulletin/uwb/subj/LAW_/L6341-20231-001/,To be announced,In-Person,,3,,TR,20231LAW_6341L001,LECTURE
LAW_ L6347,CAPITAL MARKET REGULATIONS,,,2:50pm,4:10pm,10027,Morningside,L6347-20231-001,CAPITAL MARKET REGULATION,Law,LAW_,,http://www.columbia.edu//cu/bulletin/uwb/subj/LAW_/L6347-20231-001/,To be announced,In-Person,,3,,TR,20231LAW_6347L001,LECTURE
LAW_ L6354,DRUG PRODUCT LIAB LITIGATION,,,2:50pm,4:50pm,10148,Morningside,L6354-20231-001,DRUG PRODUCT LIAB LITIGAT,Law,LAW_,,http://www.columbia.edu//cu/bulletin/uwb/subj/LAW_/L6354-20231-001/,To be announced,In-Person,,2,,T,20231LAW_6354L001,LECTURE
LAW_ L6355,HEALTH LAW,"This is a Law School course. For more detailed course information, please go to the Law School Curriculum Guide at: http://www.law.columbia.edu/courses/search
",,10:40am,12:00pm,10056,Morningside,L6355-20231-001,,Law,LAW_,,http://www.columbia.edu//cu/bulletin/uwb/subj/LAW_/L6355-20231-001/,To be announced,In-Person,,3,,TR,20231LAW_6355L001,LECTURE
