course_code,course_title,course_descr,instructor,scheduled_time_start,scheduled_time_end,call_number,campus,class_id,course_subtitle,department,department_code,instructor_wikipedia_link,link,location,method_of_instruction,open_to,points,prerequisites,scheduled_days,section_key,type
ADDN D6313,PRINCIPLES OF OCCLUSION,,Roseanna Graham,,,16206,Health Science,D6313-20223-082,,Dental and Oral Surgery,ADDN,,http://www.columbia.edu//cu/bulletin/uwb/subj/ADDN/D6313-20223-082/,,On-Line Only,,0,,,20223ADDN6313D082,SEMINAR
ADDN D6317,DIGITAL DENTISTRY,,Mina M Faiek,,,16158,Health Science,D6317-20223-082,,Dental and Oral Surgery,ADDN,,http://www.columbia.edu//cu/bulletin/uwb/subj/ADDN/D6317-20223-082/,,Hybrid,,0,,,20223ADDN6317D082,INDEPENDENT
ADDN D8151,PRACTICE MANAGEMENT,,Joseph M Mc Manus Jr,,,16133,Health Science,D8151-20223-084,,Dental and Oral Surgery,ADDN,,http://www.columbia.edu//cu/bulletin/uwb/subj/ADDN/D8151-20223-084/,,Hybrid,,0,,,20223ADDN8151D084,INDEPENDENT
AFAS GR6100,AF-AM: PRO SEMINAR,"This course introduces students to central questions and debates in the fields of African American Studies, and it explores the various interdisciplinary efforts to address them. The seminar is designed to provide an interdisciplinary foundation and familiarize students with a number of methodological approaches. Toward this end we will have a number of class visitors/guest lecturers drawn from members of IRAAS's Core and Affiliated Faculty.
",Robert Gooding-Williams,4:10pm,6:00pm,13515,Morningside,G6100-20223-001,,African American and African Diaspora,AFAS,,http://www.columbia.edu//cu/bulletin/uwb/subj/AFAS/G6100-20223-001/,To be announced,In-Person,,4,,W,20223AFAS6100G001,SEMINAR
AFAS GR6999,THESIS RESEARCH-GRADUATE,,Robert Gooding-Williams,,,13516,Morningside,G6999-20223-001,,African American and African Diaspora,AFAS,,http://www.columbia.edu//cu/bulletin/uwb/subj/AFAS/G6999-20223-001/,,In-Person,,4,,,20223AFAS6999G001,INDEPENDENT
AFAS GU4990,AFR-AMER RESEARCH-WRITING,,Mabel O Wilson,2:10pm,4:00pm,13514,Morningside,G4990-20223-001,,African American and African Diaspora,AFAS,https://en.wikipedia.org/wiki/Mabel_O._Wilson,http://www.columbia.edu//cu/bulletin/uwb/subj/AFAS/G4990-20223-001/,To be announced,In-Person,,4,,W,20223AFAS4990G001,COLLOQUIA
AFAS GU4998,INDEPENDENT STUDY-GRADUATE,,Kellie Jones,,,13528,Morningside,W4998-20223-001,INDEPENDENT STUDY-GRADUAT,African American and African Diaspora,AFAS,https://en.wikipedia.org/wiki/Kellie_Jones,http://www.columbia.edu//cu/bulletin/uwb/subj/AFAS/W4998-20223-001/,,In-Person,,1-4,,,20223AFAS4998W001,INDEPENDENT
AFAS GU4998,INDEPENDENT STUDY-GRADUATE,,Mabel O Wilson,,,13529,Morningside,W4998-20223-002,INDEPENDENT STUDY-GRADUAT,African American and African Diaspora,AFAS,https://en.wikipedia.org/wiki/Mabel_O._Wilson,http://www.columbia.edu//cu/bulletin/uwb/subj/AFAS/W4998-20223-002/,,In-Person,,1-4,,,20223AFAS4998W002,INDEPENDENT
AFAS GU4998,INDEPENDENT STUDY-GRADUATE,,Robert Gooding-Williams,,,13530,Morningside,W4998-20223-003,INDEPENDENT STUDY-GRADUAT,African American and African Diaspora,AFAS,,http://www.columbia.edu//cu/bulletin/uwb/subj/AFAS/W4998-20223-003/,,In-Person,,1-4,,,20223AFAS4998W003,INDEPENDENT
AFAS GU4998,INDEPENDENT STUDY-GRADUATE,,Frank Guridy,,,13531,Morningside,W4998-20223-004,INDEPENDENT STUDY-GRADUAT,African American and African Diaspora,AFAS,,http://www.columbia.edu//cu/bulletin/uwb/subj/AFAS/W4998-20223-004/,,In-Person,,1-4,,,20223AFAS4998W004,INDEPENDENT
AFAS GU4998,INDEPENDENT STUDY-GRADUATE,,Farah Griffin,,,13532,Morningside,W4998-20223-005,INDEPENDENT STUDY-GRADUAT,African American and African Diaspora,AFAS,,http://www.columbia.edu//cu/bulletin/uwb/subj/AFAS/W4998-20223-005/,,In-Person,,1-4,,,20223AFAS4998W005,INDEPENDENT
AFAS GU4998,INDEPENDENT STUDY-GRADUATE,,Josef Sorett,,,13533,Morningside,W4998-20223-006,INDEPENDENT STUDY-GRADUAT,African American and African Diaspora,AFAS,,http://www.columbia.edu//cu/bulletin/uwb/subj/AFAS/W4998-20223-006/,,In-Person,,1-4,,,20223AFAS4998W006,INDEPENDENT
AFAS GU4998,INDEPENDENT STUDY-GRADUATE,,Kevin Fellezs,,,13534,Morningside,W4998-20223-007,INDEPENDENT STUDY-GRADUAT,African American and African Diaspora,AFAS,,http://www.columbia.edu//cu/bulletin/uwb/subj/AFAS/W4998-20223-007/,,In-Person,,1-4,,,20223AFAS4998W007,INDEPENDENT
AFAS GU4998,INDEPENDENT STUDY-GRADUATE,,Samuel K Jr Roberts,,,13535,Morningside,W4998-20223-008,INDEPENDENT STUDY-GRADUAT,African American and African Diaspora,AFAS,,http://www.columbia.edu//cu/bulletin/uwb/subj/AFAS/W4998-20223-008/,,In-Person,,1-4,,,20223AFAS4998W008,INDEPENDENT
AFAS UN1001,INTRO TO AFRICAN-AMER STUDIES,"Prerequisites: Students need to register for a section of AFAS UN1010, the required discussion section for this course. From the arrival of enslaved Africans to the recent election of President Barack Obama, black people have been central to the story of the United States, and the Americas, more broadly. African Americans have been both contributors to, and victims of, this “New World” democratic experiment. To capture the complexities of this ongoing saga, this course offers an inter-disciplinary exploration of the development of African-American cultural and political life in the U.S. but also in relationship to the different African diasporic outposts of the Atlantic world. The course will be organized both chronologically and thematically, moving from the “middle passage” to the present so-called “post-racial” moment—drawing on a range of classical texts, primary sources, and more recent secondary literature—to grapple with key questions, concerns, and problems (i.e. agency, resistance, culture, etc.) that have preoccupied scholars of African-American history, culture, and politics. Students will be introduced to a range of disciplinary methods and theoretical approaches (spanning the humanities and social sciences), while also attending to the critical tension between intellectual work and everyday life, which are central to the formation of African-American Studies as an academic field. This course will engage specific social formations (i.e. migration, urbanization, globalization, etc.), significant cultural/political developments (i.e. uplift ideologies, nationalism, feminism, Pan-Africanism, religion/spirituality, etc.), and hallmark moments/movements (i.e. Harlem Renaissance, Civil Rights movement, etc.). By the end of the semester, students will be expected to possess a working knowledge of major themes/figures/traditions, alongside a range of cultural/political practices and institutional arrangements, in African-American Studies.
",Josef Sorett,10:10am,11:25am,14857,Morningside,C1001-20223-001,INTRO TO AFRICAN-AMER STU,African American and African Diaspora,AFAS,,http://www.columbia.edu//cu/bulletin/uwb/subj/AFAS/C1001-20223-001/,To be announced,In-Person,,4,AFAS UN1010,MW,20223AFAS1001C001,LECTURE
AFAS UN1002,Major Debates in African-American Studie,"Prerequisites: Students must register for discussion section, AFAS UN1003. This course will focus on the major debates in African-American Studies from the role of education to the political uses of art. The class will follow these debates historically with attention to the ways in which earlier discussions on migration and emigration, for example, were engaged with the specific historical conjuncture in which they took place as well as in the myriad ways in which earlier debates continue to resonate today. There will be a mix of primary documents and secondary sources and commentary.
",,12:10pm,2:00pm,13511,Morningside,W1002-20223-001,MAJ DEBATES AF-AM STUDIES,African American and African Diaspora,AFAS,,http://www.columbia.edu//cu/bulletin/uwb/subj/AFAS/W1002-20223-001/,To be announced,In-Person,,4,AFAS UN1003,R,20223AFAS1002W001,LECTURE
AFAS UN1010,INTRO-AFR-AMER STUDIES - DISC,"At each discussion section meeting, one or more students will be responsible for leading the section in a general discussion about that week's readings. They will present the key ideas within the assigned readings, making connections with information from previous readings and lectures from class. Each student's initial presentation should be about 10 minutes in length, and accompanied by a one or two page outline or short paper. If more than one student is assigned to a particular week, they should meet together prior to class to determine which topics or readings each individual will present. All grades are based  on individual performances, not by the group as a whole.
",,,,14858,Morningside,C1010-20223-001,,African American and African Diaspora,AFAS,,http://www.columbia.edu//cu/bulletin/uwb/subj/AFAS/C1010-20223-001/,,In-Person,,0,,,20223AFAS1010C001,DISCUSSION
AFAS UN3030,AFRICAN-AMERICAN MUSIC,"This course focuses on a central question: how do we define “African-American music”? In attempting to answer this question, we will be thinking through concepts such as authenticity, representation, recognition, cultural ownership, appropriation, and origin(s). These concepts have structured the ways in which critics, musicians and audiences have addressed the various social, political and aesthetic contexts in which African-American music has been composed (produced), performed (re-produced) and heard (consumed).
",Kevin Fellezs,10:10am,11:25am,13512,Morningside,W3030-20223-001,,African American and African Diaspora,AFAS,,http://www.columbia.edu//cu/bulletin/uwb/subj/AFAS/W3030-20223-001/,To be announced,In-Person,,3,,TR,20223AFAS3030W001,LECTURE
AFAS UN3901,INDEPENDENT STDY-UNDERGRADUATE,,Kellie Jones,,,13518,Morningside,C3901-20223-001,INDEPENDENT STUDY-UNDERGRAD,African American and African Diaspora,AFAS,https://en.wikipedia.org/wiki/Kellie_Jones,http://www.columbia.edu//cu/bulletin/uwb/subj/AFAS/C3901-20223-001/,,In-Person,,1-4,,,20223AFAS3901C001,INDEPENDENT
AFAS UN3901,INDEPENDENT STDY-UNDERGRADUATE,,Mabel O Wilson,,,13520,Morningside,C3901-20223-002,INDEPENDENT STUDY-UNDERGRAD,African American and African Diaspora,AFAS,https://en.wikipedia.org/wiki/Mabel_O._Wilson,http://www.columbia.edu//cu/bulletin/uwb/subj/AFAS/C3901-20223-002/,,In-Person,,1-4,,,20223AFAS3901C002,INDEPENDENT
AFAS UN3901,INDEPENDENT STDY-UNDERGRADUATE,,Robert Gooding-Williams,,,13521,Morningside,C3901-20223-003,INDEPENDENT STUDY-UNDERGRAD,African American and African Diaspora,AFAS,,http://www.columbia.edu//cu/bulletin/uwb/subj/AFAS/C3901-20223-003/,,In-Person,,1-4,,,20223AFAS3901C003,INDEPENDENT
AFAS UN3901,INDEPENDENT STDY-UNDERGRADUATE,,Frank Guridy,,,13522,Morningside,C3901-20223-004,INDEPENDENT STUDY-UNDERGRAD,African American and African Diaspora,AFAS,,http://www.columbia.edu//cu/bulletin/uwb/subj/AFAS/C3901-20223-004/,,In-Person,,1-4,,,20223AFAS3901C004,INDEPENDENT
AFAS UN3901,INDEPENDENT STDY-UNDERGRADUATE,,Farah Griffin,,,13523,Morningside,C3901-20223-005,INDEPENDENT STUDY-UNDERGRAD,African American and African Diaspora,AFAS,,http://www.columbia.edu//cu/bulletin/uwb/subj/AFAS/C3901-20223-005/,,In-Person,,1-4,,,20223AFAS3901C005,INDEPENDENT
