course_code,course_title,course_descr,instructor,scheduled_time_start,scheduled_time_end,call_number,campus,class_id,course_subtitle,department,department_code,instructor_culpa_link,instructor_culpa_nugget,instructor_culpa_reviews_count,instructor_wikipedia_link,link,location,method_of_instruction,open_to,points,prerequisites,scheduled_days,section_key,type
ARCH UN2101,ARCHITECTURAL DESIGN: SYSTEMS AND MATERI,"This architectural design studio explores material assemblies, techniques of fabrication, and systems of organization. These explorations will be understood as catalysts for architectural analysis and design experimentation.  Both designed objects and the very act of making are always embedded within a culture, as they reflect changing material preferences, diverse approaches to durability and obsolescence, varied understandings of comfort, different concerns with economy and ecology. They depend on multiple resources and mobilize varied technological innovations. Consequently, we will consider that making always involves making a society, for it constitutes a response to its values and a position regarding its technical and material resources. Within this understanding, this studio will consider different cultures of making through a number of exercises rehearse design operations at different scales—from objects to infrastructures.
",Richard T Rouhe,9:00am,11:50am,00614,Barnard College,V2101-20213-002,ARCH DESIGN: SYSTMS & MTR,Architecture @Barnard,ARCH,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/ARCH/V2101-20213-002/,To be announced,,,4.5,,MW,20213ARCH2101V002,STUDIO
ARCH UN2103,ARCHITECTURAL DESIGN: ENVIRONMENTS AND M,"This architectural design studio course explores modes of visualization, technologies of mediation and environmental transformations. These explorations will be used as catalysts for architectural analysis and design experimentation.  Introducing design methodologies that allow us to see and to shape environmental interactions in new ways, the studio will focus on how architecture may operate as a mediator
 
– an intermediary that negotiates, alters or redirects multiple forces in our world: physical, cultural, social, technological, political etc. The semester will progress through three projects that examine unique atmospheric, spatial and urban conditions with the aid of multimedia visual techniques; and that employ design to develop creative interventions at the scales of an interface, space and city.
",Madeline K Schwartzman,10:00am,12:50am,00615,Barnard College,V2103-20213-001,ARCH DESIGN: ENVRNMNTS &,Architecture @Barnard,ARCH,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/ARCH/V2103-20213-001/,To be announced,,,4.5,,MW,20213ARCH2103V001,STUDIO
ARCH UN3120,"CITY,LANDSCAPE, & ECOLOGY",,Ralph Ghoche,2:40pm,3:55pm,00618,Barnard College,V3120-20213-001,,Architecture @Barnard,ARCH,http://culpa.info/professors/13122,,1.0,,http://www.columbia.edu//cu/bulletin/uwb/subj/ARCH/V3120-20213-001/,To be announced,,,3,,TR,20213ARCH3120V001,LECTURE
ARCH UN3201,ADVANCED ARCHITECTURAL DESIGN I,"Prerequisites: ARCH UN2101 and ARCH UN2103. Advanced Architectural Design I explores the role of architecture and design in relationship to climate, community, and the environment through a series of design projects requiring drawings and models. Field trips, lectures, and discussions are organized in relation to studio exercises. A portfolio of design work from the prerequisite courses ARCH UN2101 and ARCH UN2103 will be reviewed the first week of classes.
",Kadambari Baxi,9:00am,11:50am,00616,Barnard College,V3201-20213-001,ADV ARCHITECTURAL DESIGN,Architecture @Barnard,ARCH,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/ARCH/V3201-20213-001/,To be announced,,,4.5,"ARCH UN2101
ARCH UN2101
ARCH UN2103
ARCH UN2103",MW,20213ARCH3201V001,STUDIO
ARCH UN3211,ADVANCED ARCHITECTURAL RESEARCH AND DESI,"Application required: A design portfolio and application is required for this course. The class list will be announced before classes start. Advanced Architectural Research and Design is an opportunity for students to consider international locations and address contemporary global concerns, incorporating critical questions, research methods, and design strategies that are characteristic of an architect’s operations at this scale.
",Ignacio Gonzalez Galan,9:00am,11:50am,00617,Barnard College,V3211-20213-001,ADV ARCH RESEARCH & DESIG,Architecture @Barnard,ARCH,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/ARCH/V3211-20213-001/,To be announced,,,4.5,,MW,20213ARCH3211V001,STUDIO
ARCH UN3312,SPECIAL TOPICS IN ARCHITECTURE,"See the Barnard and Columbia Architecture Department for a draft of the syllabus and course description:  
https://architecture.barnard.edu/academic-year-2020-2021-courses

",Irina C Verona,6:00pm,7:25pm,00620,Barnard College,V3312-20213-001,ENVIRONMENTS FOR INCLUSION,Architecture @Barnard,ARCH,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/ARCH/V3312-20213-001/,To be announced,,,3,,MW,20213ARCH3312V001,SEMINAR
ARCH UN3502,URBANIZING CHINA,"This course investigates the dramatic urban transformation that has taken place in mainland China over the last four decades. The speed and scale of this transformation have produced emergent new lifeways, settlement patterns, and land uses that increasingly blur the distinction between urban and rural areas. At the same time, Chinese society is still characterized by rigid, administrative divisions between the nation’s urban and rural sectors, with profound consequences for people’s lives and livelihoods. The course therefore examines the intersection between the rapid transformation of China’s built environment and the glacial transformation of its administrative categories. We will take an interdisciplinary approach to this investigation, using perspectives from architecture, history, geography, political science, anthropology, urban planning, and cultural studies, among other disciplines.  The course is divided into two parts: Over the first five weeks, we will consider the historical context of China’s urbanization and its urban-rural relations, including the imperial, colonial, and socialist periods, as well as the current period of reform. In the remainder of the semester, we will turn our focus to contemporary processes of urbanization, with a particular emphasis on the complex interrelationship between urban and rural China. This portion of the semester is organized into three two-week units on land and planning, housing and demolition, and citizenship and personhood.
",Nick R Smith,2:40pm,3:55pm,00621,Barnard College,W3502-20213-002,,Architecture @Barnard,ARCH,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/ARCH/W3502-20213-002/,To be announced,,,4,,MW,20213ARCH3502W002,LECTURE
ARCH UN3901,SENIOR SEMINAR,"Readings, individual class presentations, and written reports.
",Suzanne Stephens,12:10pm,2:00pm,00622,Barnard College,V3901-20213-001,SR SEM: ARCHITECTRL CRITICISM,Architecture @Barnard,ARCH,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/ARCH/V3901-20213-001/,To be announced,,,4,,R,20213ARCH3901V001,SEMINAR
ARCH UN3997,INDEPENDENT STUDY,"Prerequisites: Permission of the program director in term prior to that of independent study. Independent study form available at departmental office.
",Kadambari Baxi,,,00623,Barnard College,V3997-20213-001,,Architecture @Barnard,ARCH,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/ARCH/V3997-20213-001/,,,,2-4,,,20213ARCH3997V001,INDEPENDENT
ARCH UN3997,INDEPENDENT STUDY,"Prerequisites: Permission of the program director in term prior to that of independent study. Independent study form available at departmental office.
",Karen Fairbanks,,,00624,Barnard College,V3997-20213-002,,Architecture @Barnard,ARCH,http://culpa.info/professors/3757,,2.0,,http://www.columbia.edu//cu/bulletin/uwb/subj/ARCH/V3997-20213-002/,,,,2-4,,,20213ARCH3997V002,INDEPENDENT
ARCH UN3997,INDEPENDENT STUDY,"Prerequisites: Permission of the program director in term prior to that of independent study. Independent study form available at departmental office.
",Ignacio Gonzalez Galan,,,00625,Barnard College,V3997-20213-003,,Architecture @Barnard,ARCH,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/ARCH/V3997-20213-003/,,,,2-4,,,20213ARCH3997V003,INDEPENDENT
ARCH UN3997,INDEPENDENT STUDY,"Prerequisites: Permission of the program director in term prior to that of independent study. Independent study form available at departmental office.
",Ralph Ghoche,,,00626,Barnard College,V3997-20213-004,,Architecture @Barnard,ARCH,http://culpa.info/professors/13122,,1.0,,http://www.columbia.edu//cu/bulletin/uwb/subj/ARCH/V3997-20213-004/,,,,2-4,,,20213ARCH3997V004,INDEPENDENT
ARCH UN3997,INDEPENDENT STUDY,"Prerequisites: Permission of the program director in term prior to that of independent study. Independent study form available at departmental office.
",Nick R Smith,,,00627,Barnard College,V3997-20213-005,,Architecture @Barnard,ARCH,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/ARCH/V3997-20213-005/,,,,2-4,,,20213ARCH3997V005,INDEPENDENT
ASCE UN1359,INTRO TO EAST ASIAN CIV: CHINA,"Prerequisites: NOTE:Students must register for a discussion section, ASCE UN1360 The evolution of Chinese civilization from ancient times to the 20th century, with emphasis on characteristic institutions and traditions.
",,,,10905,Morningside,V1359-20213-001,INTRO TO EAST ASIAN CIV:,East Asian Languages and Cultures	,ASCE,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/ASCE/V1359-20213-001/,,,,4,ASCE UN1360,,20213ASCE1359V001,LECTURE
ASCE UN1361,INTRO EAST ASIAN CIV: JPN,"Prerequisites: NOTE: Students must register for a discussion section ASCE UN1371 A survey of important events and individuals, prominent literary and artistic works, and recurring themes in the history of Japan, from prehistory to the 20th century.
",,,,10906,Morningside,V1361-20213-001,,East Asian Languages and Cultures	,ASCE,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/ASCE/V1361-20213-001/,,,,4,ASCE UN1371,,20213ASCE1361V001,LECTURE
ASCE UN1365,INTRO EAST ASIAN CIV: TIBET,"This course seeks to introduce the sweep of Tibetan civilization and its history from its earliest recorded origins to the present. The course examines what civilizational forces shaped Tibet, especially the contributions of Indian Buddhism, sciences and literature, but also Chinese statecraft and sciences. Alongside the chronological history of Tibet, we will explore aspects of social life and culture.
",Patrick Booz,1:10pm,2:25pm,10907,Morningside,V1365-20213-001,INTRO EAST ASIAN CIV: TIB,East Asian Languages and Cultures	,ASCE,http://culpa.info/professors/14078,,1.0,,http://www.columbia.edu//cu/bulletin/uwb/subj/ASCE/V1365-20213-001/,To be announced,,,4,,TR,20213ASCE1365V001,LECTURE
ASCE UN1367,INTRO EA CIV: VIETNAM,"Corequisites: ASCE UN1377 This course provides a survey of Vietnamese civilization from prehistoric origins to the French colonization in the 19th century, with special emphasis on the rise and development of independent kingship over the 2nd millennium CE. We begin by exploring ethnolinguistic diversity of the Red River plain over the first millenium BCE, culminating in the material bronze culture known as the Dong Son. We then turn towards the introduction of high sinitic culture, and the region's long membership within successive Chinese empires. We pay special attention to the rise of an independent state out of the crumbling Tang Dynasty, and the specific nation-building effects of war with the Mongols and the Ming Dynasty, in the 14th and 15th centuries respectively. Our class ends with the French colonization of the region, and the dramatic cultural and intellectual transformations that were triggered as a result. Our course will interrogate Vietnamese culture as a protean object, one that is defined and redefined at virtually every level, throughout a history marked by foreign interest, influence, and invasion.
",,2:40pm,3:55pm,10908,Morningside,W1367-20213-001,,East Asian Languages and Cultures	,ASCE,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/ASCE/W1367-20213-001/,To be announced,,,4,ASCE UN1377,MW,20213ASCE1367W001,LECTURE
ASCM BC3000,Outlaws & Tricksters of Arabic Literatur,"What is so fascinating about outlaws and tricksters? They can be alluring and terrifying, creative and destructive. They wear disguises, upend the plans of their fellow humans, and bend societies to their will. They are unsettled and unsettling. But this course suggests that there is no single figure of the trickster. Rather, the significance of writing about tricksters and outlaws varies from text to text and from place to place. In this course, we will explore texts, mostly from the pre-modern period, written in Arabic (and sometimes Persian and Sanskrit) that depict outlaws and tricksters. We will ask after what texts are doing in the world when they tell stories that seem to celebrate and delight in the subversive, the strange, and the sinister. To help us think through these questions, we will also read divergent theories about outlaws, tricksters, and other subversives. At the end of the course, we will read the award-winning Iraqi novel Frankenstein in Baghdad.
",Matthew L Keegan,4:10pm,6:00pm,00397,Barnard College,X3000-20213-001,TRICKSTERS IN ARABIC LIT,Asian and Middle East @Barnard,ASCM,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/ASCM/X3000-20213-001/,To be announced,,,4,,M,20213ASCM3000X001,SEMINAR
